,,
,Criterios para supervisiòn o minitoreo de asignaturas virtuales e hibridas,
,Criterios,Codigo del criterio
,1.1 Actualiza OVAs (Antes S1),c_1_1_pre
,1.2 Programa Sesiones y Anuncios (S1),c_1_2_s1
,2.1 Realiza y graba sesiones en línea (Bienvenida),c_2_1_b
,2.1 Realiza y graba sesiones en línea (S1),c_2_1_s1
,2.1 Realiza y graba sesiones en línea (S2),c_2_1_s2
,2.1 Realiza y graba sesiones en línea (S3),c_2_1_s3
,2.1 Realiza y graba sesiones en línea (S4),c_2_1_s4
,2.2 Formatos Institucionales (Bienvenida),c_2_2_b
,2.2 Formatos Institucionales (S1),c_2_2_s1
,2.2 Formatos Institucionales (S2),c_2_2_s2
,2.2 Formatos Institucionales (S3),c_2_2_s3
,2.2 Formatos Institucionales (S4),c_2_2_s4
,3.1 Realiza y graba tutoría (S1),c_3_1_s1
,3.1 Realiza y graba tutoría (S2),c_3_1_s2
,3.1 Realiza y graba tutoría (S3),c_3_1_s3
,3.1 Realiza y graba tutoría (S4),c_3_1_s4
,4.1 Califica actividades (S1),c_4_1_s1
,4.1 Califica actividades (S2),c_4_1_s2
,4.1 Califica actividades (S3),c_4_1_s3
,4.1 Califica actividades (S4),c_4_1_s4
,4.2 Retroalimenta y usa la rúbrica (S1),c_4_2_s1
,4.2 Retroalimenta y usa la rúbrica (S2),c_4_2_s2
,4.2 Retroalimenta y usa la rúbrica (S3),c_4_2_s3
,4.2 Retroalimenta y usa la rúbrica (S4),c_4_2_s4
,5.1 Responde comunicaciones de alumnos (S1),c_5_1_s1
,5.1 Responde comunicaciones de alumnos (S2),c_5_1_s2
,5.1 Responde comunicaciones de alumnos (S3),c_5_1_s3
,5.1 Responde comunicaciones de alumnos (S4),c_5_1_s4
,6.1 Incentiva contra el Riesgo Académico (S1),c_6_1_s1
,6.1 Incentiva contra el Riesgo Académico (S2),c_6_1_s2
,6.1 Incentiva contra el Riesgo Académico (S3),c_6_1_s3
,6.1 Incentiva contra el Riesgo Académico (S4),c_6_1_s4
,7.1 Brinda y cumple conformidad de cierre (S4),c_7_1_s4